grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1b_RVI_G10agnos;PENTA VIDA;6,24;AA;4,869999886;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;6,22;A;5;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;EUROAMERICA VIDA;6,22;AA-;6;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;METLIFE;6,21;AA+;6;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;PRINCIPAL;6,19;AA;5,349999905;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;SECURITY;6,16;AA-;6;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;OHIO NATIONAL;6,16;AA;6;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;RENTA NACIONAL;6,11;BBB+;5,5;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;CONFUTURO;6,05;AA;5,5;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;BICE VIDA;6,04;AA+;5,599999905;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;SURA;6,01;AA;6;0;1585;10,28999996
Fnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;5,98;AA+;5,5;0;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;5,73;AA;0;11,45;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;5,73;A;0;11,46;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;METLIFE;5,7;AA+;0;11,4;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;5,69;AA;0;11,38;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;5,68;AA;0;11,36;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SECURITY;5,67;AA-;0;11,34;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;5,63;BBB+;0;11,26;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;5,6;AA;0;11,2;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;5,56;AA+;0;11,12;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SURA;5,56;AA;0;11,12;1585;10,28999996
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;5,54;AA+;0;11,08;1585;10,28999996
Fnivel2;1b_RVI_G10agnos;BTG PACTUAL VIDA;7,18;A;5;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;EUROAMERICA VIDA;7,16;AA-;5,25;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;PENTA VIDA;7,16;AA;4,869999886;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;METLIFE;7,13;AA+;6;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;CONFUTURO;7,12;AA;5,5;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;OHIO NATIONAL;7,1;AA;6;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;PRINCIPAL;7,1;AA;5,349999905;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;SECURITY;7,1;AA-;6;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;RENTA NACIONAL;7,08;BBB+;5,5;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;CONSORCIO VIDA;7,05;AA+;5,5;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;CHILENA CONSOLIDADA;7,02;AA+;6,5;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;BICE VIDA;6,98;AA+;5,599999905;0;1687;18,77000046
Fnivel2;1b_RVI_G10agnos;SURA;6,96;AA;6;0;1687;18,77000046
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;METLIFE;6,55;AA+;0;13,1;1687;18,77000046
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;6,55;AA;0;13,1;1687;18,77000046
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;6,55;A;0;13,1;1687;18,77000046
