grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;7,88;A;5;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;EUROAMERICA VIDA;7,84;AA-;5,25;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;SECURITY;7,83;AA-;6;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;PENTA VIDA;7,82;AA;4,869999886;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;PRINCIPAL;7,81;AA;5,489999771;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;CONFUTURO;7,8;AA;5,5;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;OHIO NATIONAL;7,78;AA;5;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;RENTA NACIONAL;7,71;BBB+;5;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;CHILENA CONSOLIDADA;7,68;AA+;6;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;METLIFE;7,68;AA+;6;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;SURA;7,55;AA;6;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;BICE VIDA;7,49;AA+;5,599999905;0;1908;9,670000076
Fnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;7,48;AA+;5,5;0;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,26;AA-;5,25;12,53;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,26;AA;5;12,53;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,26;A;5;12,53;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,25;AA;4,869999886;12,51;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,24;AA;5,489999771;12,48;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;6,21;BBB+;5;12,42;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;6,14;AA+;6;12,28;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;SURA;6,07;AA;6;12,14;1908;9,670000076
Fnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,01;AA+;5,599999905;12,02;1908;9,670000076
Fnivel2;1b_RVI_G10agnos;RENTA NACIONAL;8,22;BBB+;5;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;BTG PACTUAL VIDA;8,19;A;5;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;SECURITY;8,16;AA-;6;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;EUROAMERICA VIDA;8,13;AA-;4,949999809;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;OHIO NATIONAL;8,13;AA;5;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;PRINCIPAL;8,13;AA+;5,78000021;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;PENTA VIDA;8,1;AA;4,869999886;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;CONFUTURO;8,07;AA;5,5;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;METLIFE;8,04;AA+;6;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;BICE VIDA;8,02;AA+;5,300000191;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;CHILENA CONSOLIDADA;8;AA+;6;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;CONSORCIO VIDA;7,94;AA+;5,5;0;1949;20,39999962
Fnivel2;1b_RVI_G10agnos;SURA;7,56;AA;6;0;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;6,56;BBB+;5;13,12;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,51;AA;5;13,02;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,5;A;5;12,99;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,47;AA;4,869999886;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,47;AA-;4,949999809;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,43;AA+;5,78000021;12,85;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;6,4;AA+;6;12,79;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,39;AA+;5,300000191;12,77;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;SURA;6,14;AA;6;12,28;1949;20,39999962
Fnivel3;1b_RVI_G10agnos;PENTA VIDA;10,47;AA;4,869999886;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;BTG PACTUAL VIDA;10,39;A;5;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;OHIO NATIONAL;10,39;AA;5;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;SECURITY;10,37;AA-;6;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;CORPSEGUROS;10,33;AA;5,5;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;CONFUTURO;10,3;AA;5,5;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;EUROAMERICA VIDA;10,24;AA-;4,949999809;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;METLIFE;10,22;AA+;6;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;PRINCIPAL;10,17;AA+;5,78000021;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;CHILENA CONSOLIDADA;10,12;AA+;6;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;SURA;10,05;AA;6;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;CONSORCIO VIDA;10,04;AA+;5,5;0;2178;36,24000168
Fnivel3;1b_RVI_G10agnos;BICE VIDA;9,92;AA+;5,300000191;0;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;8,02;BBB+;5;16,03;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;8,02;AA;5;16,03;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;8,01;AA;4,869999886;16;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;7,98;A;5;15,95;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;7,89;AA-;4,949999809;15,79;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;7,86;AA+;6;15,73;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;7,85;AA+;5,78000021;15,71;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;SURA;7,81;AA;6;15,63;2178;36,24000168
Fnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;7,71;AA+;5,300000191;15,42;2178;36,24000168
Fnivel4;1b_RVI_G10agnos;PENTA VIDA;15,02;AA;4,869999886;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;BTG PACTUAL VIDA;14,91;A;5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;OHIO NATIONAL;14,77;AA;5,5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;EUROAMERICA VIDA;14,76;AA-;5,25;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;METLIFE;14,75;AA+;6;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;CORPSEGUROS;14,72;AA;5,5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;CONFUTURO;14,7;AA;5,5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;PRINCIPAL;14,66;AA;5,260000229;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;SURA;14,61;AA;6;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;CN LIFE;14,61;AA;5,5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;RENTA NACIONAL;14,56;BBB+;5;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;BICE VIDA;14,47;AA+;5,599999905;0;3582;42,65999985
Fnivel4;1b_RVI_G10agnos;CONSORCIO VIDA;14,42;AA+;5,5;0;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;11,93;A;5;23,85;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;METLIFE;11,89;AA+;6;23,77;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;11,84;AA-;5,25;23,67;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;11,81;AA;5,260000229;23,61;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;SURA;11,73;AA;6;23,47;3582;42,65999985
Fnivel4;3b_RT_RVD5agnos_G10agnos;BICE VIDA;11,65;AA+;5,599999905;23,3;3582;42,65999985
Mnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;7,65;A;5;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;PENTA VIDA;7,65;AA;4,869999886;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;OHIO NATIONAL;7,6;AA;5;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;SECURITY;7,58;AA-;6;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;PRINCIPAL;7,56;AA+;5,78000021;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;CONFUTURO;7,52;AA;5,5;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;METLIFE;7,49;AA+;6;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;7,46;AA+;5,5;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;SURA;7,3;AA;6;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;BICE VIDA;7,24;AA+;5,300000191;0;1612;8,329999924
Mnivel1;1b_RVI_G10agnos;CHILENA CONSOLIDADA;7,23;AA+;6;0;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;5,91;AA;4,869999886;11,8;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;5,9;AA;5;11,79;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;5,9;BBB+;5;11,79;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;5,87;A;5;11,73;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;5,8;AA+;5,78000021;11,61;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;5,75;AA+;6;11,51;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;SURA;5,7;AA;6;11,4;1612;8,329999924
Mnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;5,61;AA+;5,300000191;11,22;1612;8,329999924
Mnivel2;1b_RVI_G10agnos;RENTA NACIONAL;10,91;BBB+;5,5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;PENTA VIDA;10,91;AA;4,869999886;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;BTG PACTUAL VIDA;10,88;A;5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;SECURITY;10,87;AA-;6;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;SURA;10,81;AA;6;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;CONFUTURO;10,76;AA;5,5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;CORPSEGUROS;10,75;AA;5,5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;EUROAMERICA VIDA;10,74;AA-;5,25;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;CONSORCIO VIDA;10,64;AA+;5,5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;BICE VIDA;10,63;AA+;5,599999905;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;OHIO NATIONAL;10,61;AA;5,5;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;METLIFE;10,61;AA+;6;0;2372;18,01000023
Mnivel2;1b_RVI_G10agnos;PRINCIPAL;10,6;AA;5,349999905;0;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;8,42;AA;4,869999886;16,83;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;8,4;A;5;16,81;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;SURA;8,38;AA;6;16,77;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;8,36;AA;5,5;16,73;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;8,35;AA-;5,25;16,71;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;8,34;AA+;6;16,69;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;8,29;AA;5,349999905;16,59;2372;18,01000023
Mnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;8,25;AA+;5,599999905;16,5;2372;18,01000023
Mnivel3;1b_RVI_G10agnos;PENTA VIDA;14,27;AA;4,869999886;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;METLIFE;14,05;AA+;6;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;SECURITY;13,98;AA-;6;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;OHIO NATIONAL;13,98;AA;5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;RENTA NACIONAL;13,97;BBB+;5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;PRINCIPAL;13,91;AA+;5,579999924;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;EUROAMERICA VIDA;13,9;AA-;5,25;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;CONFUTURO;13,84;AA;5,5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;SURA;13,82;AA;6;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;CORPSEGUROS;13,74;AA;5,5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;CN LIFE;13,74;AA;5,5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;CONSORCIO VIDA;13,48;AA+;5,5;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;BICE VIDA;13,33;AA+;5,300000191;0;3186;39,11999893
Mnivel3;1b_RVI_G10agnos;CHILENA CONSOLIDADA;13,22;AA+;6;0;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;11,09;AA;4,869999886;22,17;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;11,07;AA+;6;22,13;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;11,07;A;5;22,13;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;11,02;AA;5;22,05;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;11,01;BBB+;5;22,03;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;10,94;AA+;5,579999924;21,89;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;SURA;10,93;AA;6;21,87;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;10,91;AA-;5,25;21,82;3186;39,11999893
Mnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;10,58;AA+;5,300000191;21,15;3186;39,11999893
Mnivel4;1b_RVI_G10agnos;BTG PACTUAL VIDA;23,25;A;5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;PENTA VIDA;23,19;AA;4,869999886;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;OHIO NATIONAL;22,92;AA;6;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;EUROAMERICA VIDA;22,88;AA-;6;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;RENTA NACIONAL;22,75;BBB+;5,5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;METLIFE;22,74;AA+;6;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;CORPSEGUROS;22,53;AA;5,5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;CN LIFE;22,48;AA;5,5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;PRINCIPAL;22,46;AA;5,550000191;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;CONFUTURO;22,35;AA;5,5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;SECURITY;22,2;AA-;6;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;CONSORCIO VIDA;22,18;AA+;5,5;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;SURA;22,01;AA;6;0;5557;48,90000153
Mnivel4;1b_RVI_G10agnos;BICE VIDA;21,64;AA+;5,599999905;0;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;18,55;A;5;37,2;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;18,45;AA;4,869999886;37,01;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;18,39;AA;6;36,88;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;18,21;AA-;6;36,51;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;18,12;AA;5,550000191;36,33;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;METLIFE;18,11;AA+;6;36,34;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;SURA;17,8;AA;6;35,71;5557;48,90000153
Mnivel4;3b_RT_RVD5agnos_G10agnos;BICE VIDA;17,53;AA+;5,599999905;35,17;5557;48,90000153
