grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;10,09;BBB+;0;20,18;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;10,06;AA;0;20,11;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;10,05;A;0;20,09;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;9,99;AA-;0;19,97;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;9,97;AA;0;19,93;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;9,96;AA;0;19,92;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CHILENA CONSOLIDADA;9,96;AA+;0;19,91;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;9,93;AA+;0;19,87;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SECURITY;9,91;AA-;0;19,83;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;9,9;AA+;0;19,81;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;METLIFE;9,9;AA+;0;19,81;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CORPSEGUROS;9,81;AA;0;19,62;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;9,71;AA+;0;19,42;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CN LIFE;9,7;AA;0;19,4;2522;5,119999886
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SURA;9,62;AA;0;19,24;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;8,88;BBB+;0;17,77;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;8,86;AA;0;17,73;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;8,82;A;0;17,65;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;8,78;AA-;0;17,56;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;8,78;AA;0;17,56;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;8,74;AA+;0;17,48;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;METLIFE;8,74;AA+;0;17,48;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;8,72;AA+;0;17,44;2522;5,119999886
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;SURA;8,51;AA;0;17,01;2522;5,119999886
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;7,21;BBB+;0;14,42;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;7,2;AA;0;14,41;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;7,19;A;0;14,38;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;METLIFE;7,18;AA+;0;14,36;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SECURITY;7,14;AA-;0;14,28;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;7,12;AA;0;14,24;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;7,11;AA-;0;14,22;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;7,09;AA;0;14,18;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;7,09;AA+;0;14,18;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;7,08;AA;0;14,16;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SURA;7,03;AA;0;14,06;1852;12,67000008
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;6,98;AA+;0;13,95;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;METLIFE;6,36;AA+;0;12,73;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;6,35;AA;0;12,71;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;6,31;A;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;6,31;AA;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;6,28;AA-;0;12,57;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;6,26;AA;0;12,53;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;6,25;AA+;0;12,51;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;SURA;6,19;AA;0;12,38;1852;12,67000008
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;10,17;A;0;20,34;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;10,15;AA;0;20,29;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;10,13;AA;0;20,26;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;10,12;AA;0;20,24;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;10,11;AA-;0;20,22;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;10,07;AA;0;20,13;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CHILENA CONSOLIDADA;10,07;AA+;0;20,13;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SECURITY;10,06;AA-;0;20,11;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;9,98;BBB+;0;19,95;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CORPSEGUROS;9,98;AA;0;19,95;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;METLIFE;9,97;AA+;0;19,93;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SURA;9,86;AA;0;19,73;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;9,79;AA+;0;19,58;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CN LIFE;9,79;AA;0;19,58;2697;30,51000023
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;9,67;AA+;0;19,34;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;8,99;AA;0;17,97;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;8,98;A;0;17,95;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;8,96;AA-;0;17,91;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;8,95;AA;0;17,89;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;8,95;AA;0;17,89;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;8,88;BBB+;0;17,77;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;METLIFE;8,87;AA+;0;17,75;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;SURA;8,73;AA;0;17,46;2697;30,51000023
Fnivel3;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;8,69;AA+;0;17,38;2697;30,51000023
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;15,7;A;0;31,49;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;15,58;AA;0;31,25;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;15,55;BBB+;0;31,19;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;15,45;AA-;0;31,01;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CORPSEGUROS;15,44;AA;0;30,99;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;15,41;AA;0;30,92;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;METLIFE;15,37;AA+;0;30,85;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;15,35;AA;0;30,8;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;SURA;15,25;AA;0;30,6;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;15,2;AA+;0;30,5;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CN LIFE;15,13;AA;0;30,36;4308;67,73999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;14,93;AA+;0;29,95;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;13,92;A;0;27,84;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;13,88;AA;0;27,76;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;13,8;AA-;0;27,6;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;METLIFE;13,75;AA+;0;27,5;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;13,74;AA;0;27,48;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;13,59;AA+;0;27,17;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;SURA;13,57;AA;0;27,13;4308;67,73999786
Fnivel4;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;13,52;BBB+;0;27,03;4308;67,73999786
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;8,14;A;0;16,28;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;8,11;AA;0;16,22;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;8,08;AA;0;16,16;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;METLIFE;8,08;AA+;0;16,16;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;SECURITY;8,06;AA-;0;16,12;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;8,06;AA-;0;16,12;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;SURA;8,06;AA;0;16,12;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;8,02;AA;0;16,03;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;8,02;AA;0;16,03;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;7,98;BBB+;0;15,95;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;7,94;AA+;0;15,87;2242;7,090000153
Mnivel1;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;7,84;AA+;0;15,69;2242;7,090000153
