grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;7,19;AA;0;14,38;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;7,18;AA;0;14,36;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;7,17;BBB+;0;14,34;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;7,15;AA-;0;14,3;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;7,15;A;0;14,3;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;7,1;AA+;0;14,2;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;METLIFE;7,02;AA+;0;14,04;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;SURA;7,01;AA;0;14,01;1919;12,18000031
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;6,82;AA+;0;13,65;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;7,02;AA;5;14,04;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,01;AA;4,869999886;14,01;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;7;BBB+;5;13,99;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,98;AA-;4,949999809;13,95;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,97;A;5;13,93;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,91;AA+;5,78000021;13,81;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;6,85;AA+;6;13,71;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;SURA;6,8;AA;6;13,61;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,68;AA+;5,300000191;13,36;1919;12,18000031
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;6,65;BBB+;0;13,3;1949;20,39999962
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;6,6;AA;0;13,2;1949;20,39999962
