grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;6,35;A;0;12,71;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;6,35;AA;0;12,71;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;6,34;AA-;0;12,69;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;6,33;AA;0;12,68;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;6,33;AA;0;12,67;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;RENTA NACIONAL;6,3;BBB+;0;12,61;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;METLIFE;6,2;AA+;0;12,4;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;SURA;6,17;AA;0;12,34;1908;9,670000076
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;6,09;AA+;0;12,18;1908;9,670000076
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;METLIFE;6,36;AA+;0;12,73;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;6,35;AA;0;12,71;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;6,31;AA;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;6,31;A;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;6,28;AA-;0;12,57;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;6,26;AA;0;12,53;1852;12,67000008
