grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;7,02;AA;5;14,04;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,01;AA;4,869999886;14,01;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;7;BBB+;5;13,99;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,98;AA-;4,949999809;13,95;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,97;A;5;13,93;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,91;AA+;5,78000021;13,81;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;6,85;AA+;6;13,71;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;SURA;6,8;AA;6;13,61;1919;12,18000031
Fnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,68;AA+;5,300000191;13,36;1919;12,18000031
Fnivel2;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;6,56;BBB+;5;13,12;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;6,51;AA;5;13,02;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;6,5;A;5;12,99;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;6,47;AA;4,869999886;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;6,47;AA-;4,949999809;12,93;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;6,43;AA+;5,78000021;12,85;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;6,4;AA+;6;12,79;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;6,39;AA+;5,300000191;12,77;1949;20,39999962
Fnivel2;3b_RT_RVD5agnos_G10agnos;SURA;6,14;AA;6;12,28;1949;20,39999962
Fnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;7,26;AA;6;14,52;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,23;AA;4,869999886;14,45;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;7,22;AA-;6;14,44;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;7,2;A;5;14,4;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;7,16;AA+;6;14,32;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;7,16;AA;5,349999905;14,32;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;SURA;7,11;AA;6;14,22;2235;36,40000153
Fnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;7,08;AA+;5,599999905;14,16;2235;36,40000153
Fnivel4;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;12,39;AA;5,489999771;24,79;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;12,37;A;5;24,75;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;12,34;AA;4,869999886;24,7;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;12,31;AA-;5,25;24,63;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;RENTA NACIONAL;12,25;BBB+;5;24,5;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;METLIFE;12,19;AA+;6;24,38;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;BICE VIDA;12,03;AA+;5,599999905;24,06;3764;67,51999664
Fnivel4;3b_RT_RVD5agnos_G10agnos;SURA;12;AA;6;24;3764;67,51999664
Mnivel1;3b_RT_RVD5agnos_G10agnos;METLIFE;5,78;AA+;6;11,57;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;5,76;AA;4,869999886;11,54;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;5,75;A;5;11,51;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;5,74;AA;6;11,49;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;5,69;AA;5,349999905;11,38;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;SURA;5,66;AA;6;11,32;1577;2,390000105
Mnivel1;3b_RT_RVD5agnos_G10agnos;BICE VIDA;5,59;AA+;5,599999905;11,18;1577;2,390000105
Mnivel2;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;7,97;AA;4,869999886;15,93;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;7,93;A;5;15,85;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;7,88;AA;5,5;15,77;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;METLIFE;7,88;AA+;6;15,77;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;7,87;AA-;5,25;15,75;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;SURA;7,85;AA;6;15,71;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;BICE VIDA;7,82;AA+;5,599999905;15,65;2273;14,68000031
Mnivel2;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;7,79;AA;5,380000114;15,59;2273;14,68000031
Mnivel3;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;11,03;AA;4,869999886;22,06;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;METLIFE;11,02;AA+;6;22,05;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;10,99;A;5;21,98;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;10,94;AA;5,5;21,88;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;10,92;AA-;5,25;21,84;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;BICE VIDA;10,87;AA+;5,599999905;21,74;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;10,84;AA;5,260000229;21,68;3051;28,63999939
Mnivel3;3b_RT_RVD5agnos_G10agnos;SURA;10,79;AA;6;21,58;3051;28,63999939
Mnivel4;3b_RT_RVD5agnos_G10agnos;PENTA VIDA;22,88;AA;4,869999886;30,62;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;OHIO NATIONAL;22,82;AA;6;30,56;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;BTG PACTUAL VIDA;22,78;A;5;30,51;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;PRINCIPAL;22,57;AA;5,349999905;30,22;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;EUROAMERICA VIDA;22,54;AA-;6;30,18;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;METLIFE;22,51;AA+;6;30,15;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;SURA;22,17;AA;6;29,69;5536;58,61000061
Mnivel4;3b_RT_RVD5agnos_G10agnos;BICE VIDA;22,15;AA+;5,599999905;29,66;5536;58,61000061
