grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1a_RVI_simple;SECURITY;6,04;AA-;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;BTG PACTUAL VIDA;6,01;A;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;CONFUTURO;6;AA;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;PENTA VIDA;5,99;AA;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;PRINCIPAL;5,96;AA;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;METLIFE;5,9;AA+;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;OHIO NATIONAL;5,84;AA;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;BICE VIDA;5,81;AA+;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;CONSORCIO VIDA;5,8;AA+;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;SURA;5,77;AA;0;0;1479;7,460000038
Fnivel1;1a_RVI_simple;RENTA NACIONAL;5,62;BBB+;0;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;SECURITY;5,96;AA-;6;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;BTG PACTUAL VIDA;5,96;A;5;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;PENTA VIDA;5,94;AA;4,869999886;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;CONFUTURO;5,94;AA;5,5;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;PRINCIPAL;5,9;AA;5,460000038;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;METLIFE;5,85;AA+;6;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;OHIO NATIONAL;5,79;AA;6;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;CONSORCIO VIDA;5,75;AA+;5,5;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;BICE VIDA;5,74;AA+;5,599999905;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;SURA;5,72;AA;6;0;1479;7,460000038
Fnivel1;1b_RVI_G10agnos;RENTA NACIONAL;5,57;BBB+;5,5;0;1479;7,460000038
Fnivel2;1a_RVI_simple;PRINCIPAL;6,41;AA;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;BTG PACTUAL VIDA;6,4;A;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;EUROAMERICA VIDA;6,35;AA-;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;PENTA VIDA;6,34;AA;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;SECURITY;6,32;AA-;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;CONFUTURO;6,31;AA;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;OHIO NATIONAL;6,29;AA;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;RENTA NACIONAL;6,24;BBB+;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;METLIFE;6,19;AA+;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;CHILENA CONSOLIDADA;6,18;AA+;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;SURA;6,11;AA;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;CONSORCIO VIDA;6,1;AA+;0;0;1591;16,12999916
Fnivel2;1a_RVI_simple;BICE VIDA;6,06;AA+;0;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;PRINCIPAL;6,39;AA;5,579999924;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;BTG PACTUAL VIDA;6,38;A;5;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;EUROAMERICA VIDA;6,33;AA-;5,25;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;PENTA VIDA;6,32;AA;4,869999886;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;SECURITY;6,29;AA-;6;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;CONFUTURO;6,29;AA;5,5;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;OHIO NATIONAL;6,26;AA;5;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;RENTA NACIONAL;6,22;BBB+;5;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;METLIFE;6,17;AA+;6;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;CHILENA CONSOLIDADA;6,16;AA+;6;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;SURA;6,09;AA;6;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;CONSORCIO VIDA;6,08;AA+;5,5;0;1591;16,12999916
Fnivel2;1b_RVI_G10agnos;BICE VIDA;6,04;AA+;5,599999905;0;1591;16,12999916
Fnivel3;1a_RVI_simple;BTG PACTUAL VIDA;8,53;A;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;PENTA VIDA;8,53;AA;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;OHIO NATIONAL;8,46;AA;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;CONFUTURO;8,4;AA;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;RENTA NACIONAL;8,4;BBB+;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;PRINCIPAL;8,36;AA;0;0;2071;28,92000008
Fnivel3;1a_RVI_simple;METLIFE;8,31;AA+;0;0;2071;28,92000008
