grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;1a_RVI_simple;BTG PACTUAL VIDA;6,26;A;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;RENTA NACIONAL;6,24;BBB+;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;PENTA VIDA;6,21;AA;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;METLIFE;6,2;AA+;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;EUROAMERICA VIDA;6,2;AA-;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;SECURITY;6,19;AA-;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;OHIO NATIONAL;6,17;AA;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;PRINCIPAL;6,17;AA;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;CONSORCIO VIDA;6,15;AA+;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;CONFUTURO;6,13;AA;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;BICE VIDA;6,04;AA+;0;0;1588;9,409999847
Fnivel1;1a_RVI_simple;SURA;6,03;AA;0;0;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;5,69;A;0;11,38;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;5,69;BBB+;0;11,38;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;METLIFE;5,67;AA+;0;11,34;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;5,66;AA;0;11,32;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;5,66;AA;0;11,32;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;5,66;AA-;0;11,32;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;5,64;AA;0;11,28;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SECURITY;5,64;AA-;0;11,28;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;5,63;AA+;0;11,26;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;5,61;AA;0;11,22;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;SURA;5,54;AA;0;11,08;1588;9,409999847
Fnivel1;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;5,51;AA+;0;11,02;1588;9,409999847
Fnivel2;1a_RVI_simple;BTG PACTUAL VIDA;6,9;A;0;0;1701;17
Fnivel2;1a_RVI_simple;RENTA NACIONAL;6,89;BBB+;0;0;1701;17
Fnivel2;1a_RVI_simple;EUROAMERICA VIDA;6,89;AA-;0;0;1701;17
Fnivel2;1a_RVI_simple;PENTA VIDA;6,86;AA;0;0;1701;17
Fnivel2;1a_RVI_simple;METLIFE;6,85;AA+;0;0;1701;17
Fnivel2;1a_RVI_simple;PRINCIPAL;6,82;AA;0;0;1701;17
Fnivel2;1a_RVI_simple;OHIO NATIONAL;6,73;AA;0;0;1701;17
Fnivel2;1a_RVI_simple;CONFUTURO;6,67;AA;0;0;1701;17
Fnivel2;1a_RVI_simple;CONSORCIO VIDA;6,64;AA+;0;0;1701;17
Fnivel2;1a_RVI_simple;SECURITY;6,62;AA-;0;0;1701;17
Fnivel2;1a_RVI_simple;BICE VIDA;6,57;AA+;0;0;1701;17
Fnivel2;1a_RVI_simple;SURA;6,52;AA;0;0;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;6,27;BBB+;0;12,55;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;6,26;AA-;0;12,53;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;6,25;A;0;12,51;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;6,25;AA;0;12,51;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;6,19;AA;0;12,38;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;6,17;AA;0;12,34;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;METLIFE;6,12;AA+;0;12,24;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;6,12;AA;0;12,24;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;6,08;AA+;0;12,16;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SECURITY;6,03;AA-;0;12,06;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;5,99;AA+;0;11,97;1701;17
Fnivel2;2a_RT_RVD2agnos_sinGarantizar;SURA;5,99;AA;0;11,97;1701;17
Fnivel3;1a_RVI_simple;PENTA VIDA;8,43;AA;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;BTG PACTUAL VIDA;8,35;A;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;EUROAMERICA VIDA;8,34;AA-;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;RENTA NACIONAL;8,17;BBB+;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;METLIFE;8,17;AA+;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;PRINCIPAL;8,16;AA;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;SECURITY;8,11;AA-;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;CONFUTURO;8,09;AA;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;CONSORCIO VIDA;8,06;AA+;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;SURA;7,98;AA;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;BICE VIDA;7,96;AA+;0;0;2155;29,85000038
Fnivel3;1a_RVI_simple;CORPSEGUROS;7,82;AA;0;0;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;7,62;AA;0;15,23;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;7,62;A;0;15,24;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;EUROAMERICA VIDA;7,62;AA-;0;15,24;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;RENTA NACIONAL;7,49;BBB+;0;14,97;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONFUTURO;7,46;AA;0;14,91;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;7,44;AA;0;14,87;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SECURITY;7,43;AA-;0;14,85;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;CONSORCIO VIDA;7,4;AA+;0;14,79;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;SURA;7,34;AA;0;14,69;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;METLIFE;7,33;AA+;0;14,67;2155;29,85000038
Fnivel3;2a_RT_RVD2agnos_sinGarantizar;BICE VIDA;7,29;AA+;0;14,59;2155;29,85000038
Fnivel4;1a_RVI_simple;PENTA VIDA;13,97;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;OHIO NATIONAL;13,93;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;PRINCIPAL;13,88;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;BTG PACTUAL VIDA;13,87;A;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;SECURITY;13,87;AA-;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;METLIFE;13,76;AA+;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;CORPSEGUROS;13,57;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;CONFUTURO;13,55;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;SURA;13,54;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;CN LIFE;13,45;AA;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;BICE VIDA;13,36;AA+;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;CONSORCIO VIDA;13,17;AA+;0;0;3392;66,23999786
Fnivel4;1a_RVI_simple;RENTA NACIONAL;13,02;BBB+;0;0;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;OHIO NATIONAL;12,7;AA;0;25,4;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PENTA VIDA;12,7;AA;0;25,4;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;BTG PACTUAL VIDA;12,67;A;0;25,34;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;SECURITY;12,62;AA-;0;25,24;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;PRINCIPAL;12,59;AA;0;25,18;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;METLIFE;12,52;AA+;0;25,04;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;SURA;12,39;AA;0;24,77;3392;66,23999786
Fnivel4;2a_RT_RVD2agnos_sinGarantizar;CORPSEGUROS;12,35;AA;0;24,71;3392;66,23999786
