grupo,perfil,razon_social,val_uf_pension_bru,riesgo,por_descuento_garantizado,val_uf_renta_temporal_bru,saldo,Prom_Rta
Fnivel1,1a_RVI_simple,SECURITY,6,AA-,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,PENTA VIDA,5.97,AA,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,BTG PACTUAL VIDA,5.96,A,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,METLIFE,5.95,AA+,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,EUROAMERICA VIDA,5.91,AA-,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,CONFUTURO,5.89,AA,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,BICE VIDA,5.87,AA+,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,OHIO NATIONAL,5.87,AA,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,PRINCIPAL,5.87,AA,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,CONSORCIO VIDA,5.8,AA+,0,0,1484,8.289999962
Fnivel1,1a_RVI_simple,SURA,5.76,AA,0,0,1484,8.289999962
Fnivel2,1a_RVI_simple,BTG PACTUAL VIDA,6.27,A,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,RENTA NACIONAL,6.24,BBB+,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,PENTA VIDA,6.23,AA,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,METLIFE,6.2,AA+,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,EUROAMERICA VIDA,6.2,AA-,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,SECURITY,6.2,AA-,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,OHIO NATIONAL,6.17,AA,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,PRINCIPAL,6.17,AA,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,CONSORCIO VIDA,6.17,AA+,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,CONFUTURO,6.14,AA,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,BICE VIDA,6.04,AA+,0,0,1611,15.31000042
Fnivel2,1a_RVI_simple,SURA,6.03,AA,0,0,1611,15.31000042
Fnivel3,1a_RVI_simple,PENTA VIDA,8.54,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,OHIO NATIONAL,8.46,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,BTG PACTUAL VIDA,8.44,A,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,RENTA NACIONAL,8.43,BBB+,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,SECURITY,8.42,AA-,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,METLIFE,8.37,AA+,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,CONFUTURO,8.37,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,PRINCIPAL,8.33,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,CORPSEGUROS,8.3,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,SURA,8.17,AA,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,CONSORCIO VIDA,8.13,AA+,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,CHILENA CONSOLIDADA,8.08,AA+,0,0,2084,33.88999939
Fnivel3,1a_RVI_simple,BICE VIDA,8.03,AA+,0,0,2084,33.88999939
Fnivel4,1a_RVI_simple,PENTA VIDA,16.73,AA,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,BTG PACTUAL VIDA,16.63,A,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,EUROAMERICA VIDA,16.6,AA-,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,RENTA NACIONAL,16.57,BBB+,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,PRINCIPAL,16.46,AA+,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,CORPSEGUROS,16.29,AA,0,0,3410,48.36000061
Fnivel4,1a_RVI_simple,SURA,16.29,AA,0,0,3410,48.36000061
