grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;9,32;AA;4,869999886;18,65;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;CORPSEGUROS;9,29;AA;5,5;18,58;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;9,28;A;5;18,56;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;9,27;AA;6;18,54;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONFUTURO;9,26;AA;5,5;18,52;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;CN LIFE;9,24;AA;5,5;18,48;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;SECURITY;9,23;AA-;6;18,46;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;SURA;9,21;AA;6;18,42;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;9,18;AA-;6;18,36;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;9,15;AA;5,349999905;18,3;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;METLIFE;9,12;AA+;6;18,24;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONSORCIO VIDA;9,03;AA+;5,5;18,05;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;BICE VIDA;8,97;AA+;5,599999905;17,93;2648;10,97999954
Fnivel1;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;8,7;BBB+;5,5;17,4;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;8,36;AA;0;16,73;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;8,34;A;0;16,69;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;8,31;AA;0;16,63;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;SURA;8,26;AA;0;16,52;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;8,26;AA;0;16,52;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;8,25;AA-;0;16,5;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;METLIFE;8,24;AA+;0;16,48;2648;10,97999954
Fnivel1;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;8,06;AA+;0;16,12;2648;10,97999954
Fnivel2;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;7,12;BBB+;5;14,24;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;7,11;AA;4,869999886;14,23;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;7,1;A;5;14,2;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;METLIFE;7,08;AA+;6;14,16;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;SECURITY;7,04;AA-;6;14,08;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;7,03;AA;5,5;14,06;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;7,02;AA-;5,25;14,04;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;CONFUTURO;7,01;AA;5,5;14,01;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;BICE VIDA;6,99;AA+;5,599999905;13,97;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;6,96;AA;5,380000114;13,91;1852;12,67000008
Fnivel2;2b_RT_RVD2agnos_G10agnos;SURA;6,92;AA;6;13,83;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;METLIFE;6,36;AA+;0;12,73;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PENTA VIDA;6,35;AA;0;12,71;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;OHIO NATIONAL;6,31;AA;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;BTG PACTUAL VIDA;6,31;A;0;12,63;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;EUROAMERICA VIDA;6,28;AA-;0;12,57;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;PRINCIPAL;6,26;AA;0;12,53;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;BICE VIDA;6,25;AA+;0;12,51;1852;12,67000008
Fnivel2;3a_RT_RVD5agnos_sinGarantizar;SURA;6,19;AA;0;12,38;1852;12,67000008
Fnivel3;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;10,09;A;5;20,18;2631;34,88999939
Fnivel3;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;10,08;AA;4,869999886;20,17;2631;34,88999939
Fnivel3;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;10,07;BBB+;5;20,13;2631;34,88999939
Fnivel3;2b_RT_RVD2agnos_G10agnos;CONFUTURO;10,02;AA;5,5;20,03;2631;34,88999939
