grupo;perfil;razon_social;val_uf_pension_bru;riesgo;por_descuento_garantizado;val_uf_renta_temporal_bru;saldo;Prom_Rta
Fnivel1;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;5,66;BBB+;5,5;11,32;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;5,66;A;5;11,32;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;METLIFE;5,64;AA+;6;11,28;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;5,63;AA;5,5;11,26;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;5,63;AA;4,869999886;11,26;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;5,63;AA-;5,25;11,26;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONFUTURO;5,61;AA;5,5;11,22;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;SECURITY;5,6;AA-;6;11,2;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;CONSORCIO VIDA;5,6;AA+;5,5;11,2;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;5,57;AA;5,349999905;11,14;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;SURA;5,51;AA;6;11,02;1588;9,409999847
Fnivel1;2b_RT_RVD2agnos_G10agnos;BICE VIDA;5,47;AA+;5,599999905;10,93;1588;9,409999847
Fnivel2;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;6,03;AA;4,869999886;12,06;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;6,03;A;5;12,06;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;SECURITY;5,99;AA-;6;11,97;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;CONFUTURO;5,99;AA;5,5;11,97;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;5,99;AA;6;11,97;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;PRINCIPAL;5,98;AA;5,460000038;11,95;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;SURA;5,9;AA;6;11,79;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;METLIFE;5,88;AA+;6;11,75;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;CONSORCIO VIDA;5,87;AA+;5,5;11,73;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;BICE VIDA;5,83;AA+;5,599999905;11,67;1664;16,57999992
Fnivel2;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;5,68;BBB+;5,5;11,36;1664;16,57999992
Fnivel3;2b_RT_RVD2agnos_G10agnos;PENTA VIDA;8,16;AA;4,869999886;16,32;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;RENTA NACIONAL;8,16;BBB+;5;16,32;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;BTG PACTUAL VIDA;8,15;A;5;16,3;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;SECURITY;8,11;AA-;6;16,22;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;EUROAMERICA VIDA;8,1;AA-;5,25;16,2;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;CONFUTURO;8,1;AA;5,5;16,2;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;OHIO NATIONAL;8,09;AA;5,5;16,18;2126;35,56999969
Fnivel3;2b_RT_RVD2agnos_G10agnos;METLIFE;8,04;AA+;6;16,08;2126;35,56999969
