StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q250_First Click,Q250_Last Click,Q250_Page Submit,Q250_Click Count,Qconsent,Qgender,Qbirth,QSEC,QEdu,QPension,Qpartner,Qbirthpartner,Qunderage,Qmotherdied,Qfatherdied,Qadvice,Qplanadvice,Qplan,Qplan_7_TEXT,Qknowmodes_1,Qknowmodes_3,Qknowmodes_4,QdifRVI_RP,QknowAPF_1,QknowAPF_2,QknowAPF_3,QknowAPF_4,QknowAPF_5,QknowAPF_6,QknowCS_3,QknowCS_4,QknowCS_5,QknowCS_6,QknowCS_7,QknowCS_8,QknowCS_9,QknowCS_10,QknowCS_11,QknowCS_12,QknowCS_13,QknowCS_14,QknowCS_15,QknowCS_16,QknowCS_17,Q200_First Click,Q200_Last Click,Q200_Page Submit,Q200_Click Count,Qreadingcomp1,Qreadingcomp2,Qreadingcomp3,Q201_First Click,Q201_Last Click,Q201_Page Submit,Q201_Click Count,Qtime2_First Click,Qtime2_Last Click,Qtime2_Page Submit,Qtime2_Click Count,Qtime3_First Click,Qtime3_Last Click,Qtime3_Page Submit,Qtime3_Click Count,Qtime4_First Click,Qtime4_Last Click,Qtime4_Page Submit,Qtime4_Click Count,Qtime5_First Click,Qtime5_Last Click,Qtime5_Page Submit,Qtime5_Click Count,Qtime6_First Click,Qtime6_Last Click,Qtime6_Page Submit,Qtime6_Click Count,Qthink,Qprofileselect,Qprofileselect_7_TEXT,Qmodeorder_1,Qmodeorder_2,Qmodeorder_3,Qmodeorder_4,QPG,Qt1,QtimeV1_First Click,QtimeV1_Last Click,QtimeV1_Page Submit,QtimeV1_Click Count,Qt2,QtimeV2_First Click,QtimeV2_Last Click,QtimeV2_Page Submit,QtimeV2_Click Count,Qhealth_1,Qhealth_4,Qhealth_5,Qhealth_6,Qhealth_7,Qhealth_8,Q207,Q239,Q208,Q209,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q217,Q218,Q219,Q220,Q221,Q222,Q223,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233,Q234,Q235,Q236,Q237,Qmath1,Qmath2,Qmath3,Qmath4,Qmath5,Qrisk,Q240,Q241_1,Q241_2,Q241_3,Q241_4,Q241_5,Q241_6,SC0,Potsize,PotsizeK,Drawdown,tic,Q_TotalDuration,genderQ,econQ,mode1Q,mode2Q,pgQ,Treatment1,Treatment2,idQualtrics,genderBlock,incomeBlock,educationBlock,total_reward,risk_q_reward,treat1_reward,treat2_reward,treatment1,treatment2,clickedV1,clickedV2,PC,age_screen,name1,name2,name3,name4,name5,name6,pn1,Pn1,hn1,Hn1,verb1,verb2,verb3,noun1,clicked,pay10,pay11,pay12,pay13,pay14,pay15,pay16,pay17,pay18,pay19,pay110,pay111,pay112,pay113,pay114,pay115,pay21,pay22,pay23,pay24,pay25,pay26,pay27,pay28,pay29,pay210,pay211,pay212,pay213,pay214,treatv1,treatv2,largo1,largo2,Q179 - Topics
06/11/2018 06:10,06/11/2018 06:57,Dirección IP,163.247.79.155,100,2807,Verdadero,06/11/2018 06:57,R_2PtyZ3GuVgEqDCo,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1961,nivel4,Universitaria completa,No,Sí,1962,0,Sigue viva,Sigue vivo,No,Sí,Convertir los fondos en una Renta Vitalicia,,Muy bueno,Muy bueno,Muy bueno,"renta vitlicia la paga una cia de seguros y es de por vida, el retiro programado es hasta cuando existan beneficiarios de pension, lo paga la afp, y el saldo remanente es herencia",Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","7,466","162,798","173,263",57,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si va a tener acceso a otras potenciales fuentes de ingreso (ej. trabajo ocasional remunerado, arriendos de inmuebles, recibir herencia),Su nivel de deuda actual,Si desea contratar Períodos Garantizados","13,672","32,849","34,253",16,"7,428","54,108","70,172",4,"3,382","43,373","49,418",4,"2,739","29,241","31,402",4,0,0,"36,115",0,0,0,"35,184",0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name1} (Renta Vitalicia),,2,1,3,4,b,Opción 3,"1,654","39,275","40,035",7,Opción 1,"6,692","28,935","30,504",7,Totalmentede acuerdo,En desacuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,En desacuerdo,De acuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Mejor que el promedio,En desacuerdo,Más de $125.000.000,Entre 20 y 30 años,10000,50% probabilidades de ganar $1.440 and 50% probabilidades de ganar  $360,5,2,4,8,4,2,7,4,50000,50,4,,2807,1,4,2,1,2,,,9608023,,,,7760,360,1200,1200,control,treat3,0,0,,57,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1200,1200,1500,1400,1200,1200,0,0,0,0,0,0,0,0,0,control,treat3,,,
06/11/2018 06:19,06/11/2018 07:03,Dirección IP,163.247.79.155,100,2629,Verdadero,06/11/2018 07:03,R_10UTWBom5RZtN87,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",F,1958,nivel3,Educación media completa o universitaria incompleta,No,No,,0,,,No,No,Convertir los fondos en una Renta Vitalicia,,Bueno,Bueno,"Ni bueno, ni malo",si,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,8.74,90.35,"91,381",55,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si desea contratar Períodos Garantizados","13,804","60,451","61,446",13,"1,892","19,696","71,061",2,"34,356","34,356","44,113",1,0,0,"45,903",0,"45,925","45,925","46,928",1,0,0,"28,846",0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name1} (Renta Vitalicia),,1,4,3,2,a,Opción 2,"39,538","74,487","75,444",7,Opción 1,18.15,"49,363","51,952",17,De acuerdo,Totalmenteen desacuerdo,"Ni de acuerdo, ni en desacuerdo",Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Hoy,,,,,,,,,,,,,,,,,,,,,,,,,,Mucho mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Nunca se terminaría de pagar el crédito,"5,000",50% probabilidades de ganar  $1.080 and 50% probabilidades de ganar $540,5,8,5,7,7,2,2,3,50000,50,4,,2629,2,3,1,4,1,,,6833059,,,,8440,540,1500,1400,treat2,treat4,0,0,,60,Susana,Julieta,Claudia,Elena,Paulina,María,ella,Ella,marido,marido,cansada,delicada,contenta,beneficiario,0,1400,1500,1200,900,500,100,50,0,0,0,0,0,0,0,0,1400,1400,1500,1400,1400,1400,0,0,0,0,0,0,0,0,0,treat2,treat4,,,
06/11/2018 06:12,06/11/2018 07:03,Dirección IP,163.247.79.155,100,3079,Verdadero,06/11/2018 07:03,R_2aWalPuBFMlul8x,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1958,nivel4,Universitaria completa,No,Sí,1956,3,Sigue viva,50 o menos,Sí,No,Convertir los fondos en un Retiro Programado,,Bueno,"Ni bueno, ni malo",Malo,retiro programado se recalcula todos los anos y se paga el monto contratado hasta que fallezca el asegurado o hasta el ultimo beneficiario de pension,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"7,026","222,458","224,475",57,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si desea contratar Períodos Garantizados","12,682",62.66,68.49,12,20.96,20.96,"98,047",1,0,0,"67,813",0,0,0,"47,212",0,0,0,"54,979",0,"32,924","32,924","32,956",1,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name4} (Retiro Programado 2),,1,3,4,2,a,Opción 1,"99,143","115,886","119,453",4,Opción 1,"25,636","36,402","39,299",6,"Ni de acuerdo, ni en desacuerdo",De acuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Dentro de 12 meses,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,,Mucho mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Menos de 20 años,5000,50% probabilidades de ganar  $1.080 and 50% probabilidades de ganar $540,,Averso al riesgo  0,5,5,2,5,2,4,50000,50,4,,3079,1,4,1,4,1,,,1248813,,,,8240,540,1500,1200,treat1,treat4,0,0,,60,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1200,1200,1500,1400,1200,1200,0,0,0,0,0,0,0,0,0,treat1,treat4,,,
06/11/2018 06:14,06/11/2018 07:05,Dirección IP,163.247.79.155,100,3067,Verdadero,06/11/2018 07:05,R_eEQj735HyzwXSQF,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1960,nivel3,Universitaria completa,No,Sí,1957,5 o más,71-80,,No,Sí,Convertir los fondos en una Renta Vitalicia,,"Ni bueno, ni malo","Ni bueno, ni malo","Ni bueno, ni malo",no se,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"12,185",148.31,"153,045",43,Verdadero,Verdadero,Su expectativa de vida,"19,478","62,487","67,474",11,"11,625","12,137","18,367",3,0,0,"50,433",0,0,0,"24,037",0,0,0,"12,701",0,0,0,"16,921",0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name2} (Renta Temporal con Renta Vitalicia Diferida de 2 años),,1,2,4,3,b,Opción 9,"42,734","72,294","74,466",16,Opción 3,"33,475","45,686","52,063",7,De acuerdo,De acuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,Totalmenteen desacuerdo,,Hoy,,,,,,,,,,,,,,,,,Hoy,Hoy,,,,Hoy,Hoy,,,,,,,,,Peor que al promedio,Totalmente de acuerdo,Entre $120.000.000 y $125.000.000,Menos de 20 años,10000,50% probabilidades de ganar $1.440 and 50% probabilidades de ganar  $360,5,4,5,5,6,4,3,3,50000,50,4,,3067,1,3,1,2,2,,,1301605,,,,7840,1440,0,1400,control,treat3,0,0,,58,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1200,1200,1500,1400,1200,1200,0,0,0,0,0,0,0,0,0,control,treat3,,,
06/11/2018 06:20,06/11/2018 07:06,Dirección IP,163.247.79.121,100,2793,Verdadero,06/11/2018 07:06,R_2frs6vf5znNlrPF,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",F,1961,nivel4,Universitaria completa,No,Sí,1961,0,Sigue viva,Sigue vivo,No,Sí,Convertir los fondos en una mezcla entre Retiros Programados y Rentas Vitalicias,,"Ni bueno, ni malo","Ni bueno, ni malo",Malo,"La RV asegura una pensión fija hasta que fallezca. El RP se recalcula cada año en base al saldo disponible en la CCICO, por lo cual disminuye cada año.","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","25,985","232,087","248,605",34,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si va a tener acceso a otras potenciales fuentes de ingreso (ej. trabajo ocasional remunerado, arriendos de inmuebles, recibir herencia),Su nivel de deuda actual,Si desea contratar Períodos Garantizados","14,752","49,584","55,467",7,"3,107","3,107","75,428",1,0,0,"52,809",0,0,0,"32,674",0,0,0,"48,642",0,0,0,"50,629",0,He pensado detenida y honestamente sobre mi plan de pensión,Ninguno de los anteriores. ¿Por qué?,desconoizco en que situacion financiera y de salud estaré al momento de pensionarme,4,3,1,2,,Opción 1,"28,756","33,593","35,995",3,Opción 1,"4,288","8,851","10,678",3,De acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,En desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Mejor que el promedio,Ni de acuerdo ni en desacuerdo,Menos de  $120.000.000,Menos de 20 años,10000,50% probabilidades de ganar  $1.080 and 50% probabilidades de ganar $540,7,5,6,4,4,Averso al riesgo  0,3,4,50000,50,4,,2793,2,4,3,4,,,,8050958,,,,,1080,,,,,0,0,,57,Susana,Julieta,Claudia,Elena,Paulina,María,ella,Ella,marido,marido,cansada,delicada,contenta,beneficiario,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2018 06:12,06/11/2018 07:07,Dirección IP,163.247.79.155,100,3318,Verdadero,06/11/2018 07:07,R_ddpmB0KSM1FWMx3,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1961,nivel4,Universitaria completa,No,Sí,1964,0,81-90,81-90,No,No,Convertir los fondos en un Retiro Programado,,Muy bueno,Bueno,Bueno,"La RV es un valor fijo de pensión y el RP es un valor que anualmente va variando, por lo general a la baja, dependiendo de la rentabilidad de los Fondos, la ventaja es que en esta modalidad no pierdo el patrimonio de los fondos a diferencia de la RV donde el patrimonio es de la compania que me aseguró la RV.",Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,"14,129","367,554","372,976",29,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si desea contratar Períodos Garantizados","19,515","95,579","100,128",9,0,0,"95,331",0,0,0,"68,613",0,0,0,"54,246",0,0,0,"45,412",0,0,0,"29,508",0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name4} (Retiro Programado 2),,1,4,3,2,a,Opción 1,51.59,"62,317",65.24,4,Opción 1,"25,124",54.44,69.23,6,"Ni de acuerdo, ni en desacuerdo",En desacuerdo,En desacuerdo,Totalmentede acuerdo,En desacuerdo,En desacuerdo,Hoy,,,,,,,,,,,,,,,,,Dentro de 12 meses,,,,,,,,Dentro de 12 meses,Hoy,,Hoy,,,,Mucho mejor que el promedio,En desacuerdo,Más de $125.000.000,Entre 20 y 30 años,5000,50% probabilidades de ganar $1.440 and 50% probabilidades de ganar  $360,3,4,Averso al riesgo  0,6,Averso al riesgo  0,1,2,4,50000,50,4,,3318,1,4,1,4,1,,,5525784,,,,9140,1440,1500,1200,treat3,treat4,0,0,,57,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1200,1200,1500,1400,1200,1200,0,0,0,0,0,0,0,0,0,treat3,treat4,,,
06/11/2018 06:27,06/11/2018 07:17,Dirección IP,163.247.79.155,100,3048,Verdadero,06/11/2018 07:17,R_31uOnWJ8FWfa12a,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1950,nivel4,Universitaria completa,No,Sí,1959,0,Más de 90,81-90,No,No,Convertir los fondos en una mezcla entre Retiros Programados y Rentas Vitalicias,,Muy bueno,Muy bueno,Muy bueno,retiro programado no  trnsfuere su fondos  rent vutalicia transifere la prpieddad de sus fondos a una compania de seguros ,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,12.26,"224,177","225,468",58,Verdadero,Falso,"Su expectativa de vida,Su nivel de deuda actual","18,363","67,953","69,181",11,22.46,22.46,"85,985",1,"47,261","47,261","49,975",1,0,0,"34,739",0,0,0,"33,298",0,"27,875","27,883","54,122",2,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name5} (Renta Temporal con Renta Vitalicia Diferida de 4 años),,4,3,2,1,a,Opción 1,"73,862","99,825",100.75,13,Opción 1,"34,117","103,603",104.39,6,De acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,De acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Hoy,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,Mucho mejor que el promedio,En desacuerdo,Más de $125.000.000,Menos de 20 años,10000,100% probabilidades de ganar $720,9,7,7,5,3,3,2,4,50000,50,4,,3048,1,4,4,3,1,,,548478,,,,8420,720,1500,1200,treat2,treat4,0,0,,68,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1500,1200,1400,500,900,100,50,0,0,0,0,0,0,0,0,treat2,treat4,,,
06/11/2018 06:19,06/11/2018 07:18,Dirección IP,163.247.79.155,100,3534,Verdadero,06/11/2018 07:18,R_O0XkARlMJNGc3sJ,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",F,1963,nivel4,Universitaria completa,No,Sí,1952,0,Sigue viva,61-70,No,Sí,Convertir los fondos en una Renta Vitalicia,,Malo,Bueno,"Ni bueno, ni malo","Retiro programado, se otorga a través de la AFP, se recalcula anualmente, genera herencia en caso de mantener saldo al momento de mi fallecimiento, tiene una curva de decrecimiento acelerado del monto de la pensión.  Renta Vitalicia, traspasos mis fondos a una compañía de seguro con quien contrato un monto fijo de pensión de por vida, se pacta en UF, no genera herencia, pero me permite optar a dejar mi saldo garantizado en beneficio de cualquier persona por un espacio de tiempo que va desde los 10 a los 30 años, contado desde que me pensiono. Al igual que en el Retiro Programado, los beneficiarios legales obtienen hasta el 70% de mi pensión calculada o pactada, según corresponda, al momento de mi fallecimiento. Los beneficiarios de la pensión la recibirán también en forma vitalicia en el caso de la compañía de seguro, si el beneficiario es el cónyuge y los hijos hasta cumplir 24 años de edad si siguen estudiando después de los 18. Los beneficiarios de retiro programado, reciben pensión sólo hasta el momento en que se agota el saldo  ",Lo conozco bien,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,"Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,"Ni bien, ni mal",Lo conozco bien,Lo conozco bien,No lo conozco,"Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,"13,144","822,566","825,148",50,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si va a tener acceso a otras potenciales fuentes de ingreso (ej. trabajo ocasional remunerado, arriendos de inmuebles, recibir herencia),Su nivel de deuda actual,Si desea contratar Períodos Garantizados","9,081",77.06,"81,104",17,"31,411","73,836","77,573",6,"33,578","35,032","37,814",3,"34,162","37,181","38,914",3,"27,893","29,206","32,044",3,0,0,"22,018",0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name1} (Renta Vitalicia),,4,1,2,3,a,Opción 6,"39,735",63.49,"69,603",5,Opción 6,"14,979","73,379","80,004",22,Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Dentro de 12 meses,Dentro de 12 meses,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,,,,,Mucho mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Entre 20 y 30 años,10000,50% probabilidades de ganar  $1.080 and 50% probabilidades de ganar $540,8,Averso al riesgo  0,8,3,3,1,4,4,50000,50,4,,3534,2,4,2,3,1,,,4038112,,,,5690,540,100,50,control,treat1,0,0,,55,Susana,Julieta,Claudia,Elena,Paulina,María,ella,Ella,marido,marido,cansada,delicada,contenta,beneficiario,0,1500,1400,1200,900,500,100,0,50,0,0,0,0,0,0,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,control,treat1,,,
06/11/2018 06:12,06/11/2018 07:20,Dirección IP,163.247.79.155,100,4060,Verdadero,06/11/2018 07:20,R_1lxUGvrH1R91mk0,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1954,nivel4,Universitaria completa,No,Sí,1955,0,81-90,71-80,No,Sí,Otro (por favor especifique),aun no lo se,Bueno,Bueno,Bueno,renta vitalicia inmediata monto fijo que paga una compania de seguros retiro programado lo paga la afp. la diferencia es que los fondos constituyen herencia en el caso de retiro programado.,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",No lo conozco,"Ni bien, ni mal","Ni bien, ni mal",No lo conozco,No lo conozco,"Ni bien, ni mal",Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",Lo conozco bien,No lo conozco,"Ni bien, ni mal","Ni bien, ni mal",Lo conozco bien,"33,851","338,824","339,828",61,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si va a tener acceso a otras potenciales fuentes de ingreso (ej. trabajo ocasional remunerado, arriendos de inmuebles, recibir herencia),Su nivel de deuda actual,Si desea contratar Períodos Garantizados","16,287","51,171","52,343",17,"76,417","76,417","116,025",1,0,0,"99,324",0,"89,646","89,654","99,574",2,"86,648","86,656","110,761",2,30.69,"30,706","33,905",2,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name5} (Renta Temporal con Renta Vitalicia Diferida de 4 años),,2,4,3,1,a,Opción 1,63.4,"79,739","82,905",5,Opción 1,"27,006","52,472","54,312",19,De acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Hoy,,,,Hoy,Hoy,,,,,,,,,,,,,,,,,,,,,,,,Más o menos igual al promedio,De acuerdo,Más de $125.000.000,Entre 20 y 30 años,"10,000",50% probabilidades de ganar $1.440 and 50% probabilidades de ganar  $360,7,Averso al riesgo  0,5,6,5,3,5,4,50000,50,4,,4060,1,4,4,1,1,,,7882954,,,,9140,1440,1500,1200,treat1,treat2,0,0,,64,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,100,50,0,0,0,0,0,0,0,0,1200,1200,1500,1400,1200,1200,0,0,0,0,0,0,0,0,0,treat1,treat2,,,
06/11/2018 06:14,06/11/2018 07:21,Dirección IP,163.247.79.155,100,4013,Verdadero,06/11/2018 07:21,R_1MXNOnfMUGvL6CG,,,,,"-334,499,969,482,421,000","-706,667,022,705,078,000",anonymous,ES-ES,,,,,"Sí, he leído y entendido las reglas",M,1959,nivel4,Universitaria completa,No,Sí,1959,0,81-90,81-90,No,No,Otro (por favor especifique),por ahora no tengo plan,Malo,Malo,Malo,RVI es de por vida RP es por un tiempo limitado,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,Lo conozco bien,"Ni bien, ni mal",No lo conozco,"Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,"Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,"Ni bien, ni mal",No lo conozco,No lo conozco,No lo conozco,"Ni bien, ni mal","11,879","117,027",117.88,58,Verdadero,Falso,"Su expectativa de vida,Si desea dejar herencia a personas que no son beneficiarios de su pensión,Si va a tener acceso a otras potenciales fuentes de ingreso (ej. trabajo ocasional remunerado, arriendos de inmuebles, recibir herencia),Su nivel de deuda actual,Si desea contratar Períodos Garantizados","5,139","23,082","23,712",22,8.4,"52,956","63,883",3,"29,464","29,472","31,775",2,"30,635","30,647",33.28,2,"21,386","21,386",21.47,1,0,0,17.82,0,He pensado detenida y honestamente sobre mi plan de pensión,${e://Field/name1} (Renta Vitalicia),,2,1,3,4,a,Opción 9,"66,491","70,763","72,281",7,Opción 1,17.21,"102,952",107.29,42,"Ni de acuerdo, ni en desacuerdo",En desacuerdo,Totalmenteen desacuerdo,Totalmentede acuerdo,Totalmenteen desacuerdo,Totalmenteen desacuerdo,Dentro de 12 meses,,Dentro de 12 meses,Hoy,,,,Dentro de 12 meses,,Dentro de 12 meses,,,,,,,,,,,,,,,,,,,,,,,Mejor que el promedio,Ni de acuerdo ni en desacuerdo,Más de $125.000.000,Menos de 20 años,5000,50% probabilidades de ganar  $1.080 and 50% probabilidades de ganar $540,7,1,6,6,2,6,4,4,50000,50,4,,4013,1,4,2,1,1,,,9520418,,,,6940,540,0,1400,treat1,treat2,0,0,,59,David,Pedro,Andrés,Marcos,Juan,Ricardo,el,El,esposa,Esposa,cansado,delicado,contento,beneficiaria,0,1500,1400,1200,900,500,50,100,0,0,0,0,0,0,0,0,1400,1400,1500,1400,1400,1400,0,0,0,0,0,0,0,0,0,treat1,treat2,,,
